timestamp,value
14-02-2014 14:30,0.132
14-02-2014 14:35,0.134
14-02-2014 14:40,0.134
14-02-2014 14:45,0.134
14-02-2014 14:50,0.134
14-02-2014 14:55,0.134
14-02-2014 15:00,0.134
14-02-2014 15:05,0.134
14-02-2014 15:10,0.066
14-02-2014 15:15,0.132
14-02-2014 15:20,0.134
14-02-2014 15:25,0.066
14-02-2014 15:30,0.132
14-02-2014 15:35,0.202
14-02-2014 15:40,0.068
14-02-2014 15:45,0.134
14-02-2014 15:50,0.132
14-02-2014 15:55,0.134
14-02-2014 16:00,0.134
14-02-2014 16:05,0.136
14-02-2014 16:10,0.132
14-02-2014 16:15,0.134
14-02-2014 16:20,0.134
14-02-2014 16:25,0.066
14-02-2014 16:30,0.134
14-02-2014 16:35,0.134
14-02-2014 16:40,0.066
14-02-2014 16:45,0.134
14-02-2014 16:50,0.134
14-02-2014 16:55,0.134
14-02-2014 17:00,0.132
14-02-2014 17:05,0.136
14-02-2014 17:10,0.134
14-02-2014 17:15,0.134
14-02-2014 17:20,0.132
14-02-2014 17:25,0.132
14-02-2014 17:30,0.134
14-02-2014 17:35,0.134
14-02-2014 17:40,0.066
14-02-2014 17:45,0.134
14-02-2014 17:50,0.134
14-02-2014 17:55,0.202
14-02-2014 18:00,0.134
14-02-2014 18:05,0.134
14-02-2014 18:10,0.134
14-02-2014 18:15,0.068
14-02-2014 18:20,0.132
14-02-2014 18:25,0.134
14-02-2014 18:30,0.134
14-02-2014 18:35,0.134
14-02-2014 18:40,0.134
14-02-2014 18:45,0.134
14-02-2014 18:50,0.134
14-02-2014 18:55,0.134
14-02-2014 19:00,0.066
14-02-2014 19:05,0.134
14-02-2014 19:10,0.134
14-02-2014 19:15,0.134
14-02-2014 19:20,0.066
14-02-2014 19:25,0.132
14-02-2014 19:30,0.134
14-02-2014 19:35,0.2
14-02-2014 19:40,0.132
14-02-2014 19:45,0.134
14-02-2014 19:50,0.136
14-02-2014 19:55,0.132
14-02-2014 20:00,0.066
14-02-2014 20:05,0.134
14-02-2014 20:10,0.134
14-02-2014 20:15,0.134
14-02-2014 20:20,0.2
14-02-2014 20:25,0.132
14-02-2014 20:30,0.136
14-02-2014 20:35,0.134
14-02-2014 20:40,0.134
14-02-2014 20:45,0.134
14-02-2014 20:50,0.066
14-02-2014 20:55,0.134
14-02-2014 21:00,0.134
14-02-2014 21:05,0.134
14-02-2014 21:10,0.134
14-02-2014 21:15,0.132
14-02-2014 21:20,0.066
14-02-2014 21:25,0.134
14-02-2014 21:30,0.132
14-02-2014 21:35,0.134
14-02-2014 21:40,0.132
14-02-2014 21:45,0.066
14-02-2014 21:50,0.134
14-02-2014 21:55,0.132
14-02-2014 22:00,0.134
14-02-2014 22:05,0.134
14-02-2014 22:10,0.066
14-02-2014 22:15,0.134
14-02-2014 22:20,0.132
14-02-2014 22:25,0.134
14-02-2014 22:30,0.132
14-02-2014 22:35,0.068
14-02-2014 22:40,0.132
14-02-2014 22:45,0.132
14-02-2014 22:50,0.134
14-02-2014 22:55,0.132
14-02-2014 23:00,0.134
14-02-2014 23:05,0.134
14-02-2014 23:10,0.134
14-02-2014 23:15,0.066
14-02-2014 23:20,0.132
14-02-2014 23:25,0.132
14-02-2014 23:30,0.066
14-02-2014 23:35,0.136
14-02-2014 23:40,0.134
14-02-2014 23:45,0.066
14-02-2014 23:50,0.134
14-02-2014 23:55,0.2
15-02-2014 00:00,0.134
15-02-2014 00:05,0.134
15-02-2014 00:10,0.066
